customer_id,segment,rfm_score,transaction_count,recency_days,amount,recency_score,frequency_score,monetary_score
Rosina Abbott,Loyal,244,7,339,652,2,4,4
Ruel Ruecker,Loyal,433,5,176,436,4,3,3
Russell Boyle,Do not Show Up at All,112,2,614,265,1,1,2
Ruthe Macejkovic MD,Loyal,255,9,373,805,2,5,5
Ryland Predovic,Loyal,234,5,436,665,2,3,4
Sadie Upton,Others,424,4,151,541,4,2,4
Saint Doyle,Loyal,344,6,190,558,3,4,4
Samira Medhurst,Loyal,245,7,430,826,2,4,5
Santana Bradtke,First Grade,455,8,152,732,4,5,5
Savion Rohan,First Grade,555,10,84,1118,5,5,5
Schuyler Volkman,First Grade,454,10,160,658,4,5,4
Scottie Beahan PhD,Others,314,3,275,538,3,1,4
Seaborn Bogisich III,Likely to be Loyal,413,3,178,459,4,1,3
Shakira Stokes,Loyal,533,5,75,438,5,3,3
Shane Haley,Loyal,433,5,157,424,4,3,3
Shania Stamm DDS,Loyal,355,9,188,997,3,5,5
Shantel Jenkins,Almost Out,123,4,724,388,1,2,3
Shari Rowe PhD,Loyal,234,5,426,665,2,3,4
Sharyn Barrows,Others,442,6,155,292,4,4,2
Shaun Rempel,Likely to be Loyal,423,4,180,427,4,2,3
Shea Feil,First Grade,444,6,176,588,4,4,4
Shea Gerlach,Loyal,345,7,201,760,3,4,5
Shellie Brekke III,Others,113,3,591,384,1,1,3
Shelton Hudson,First Grade,455,8,153,867,4,5,5
Sherlyn Gutmann,First Grade,555,9,19,726,5,5,5
Shirl Keebler,Likely to be Loyal,522,4,90,377,5,2,2
Shirl Kuvalis,Loyal,333,5,276,450,3,3,3
Shirl Wisozk,Almost Out,122,4,630,363,1,2,2
Shirlie Nikolaus,Loyal,345,7,210,688,3,4,5
Shoji Wintheiser III,Likely to be Loyal,432,5,140,329,4,3,2
Skylar Hoeger,Likely to be Loyal,321,4,282,255,3,2,1
Sol Zboncak,Do not Show Up at All,111,3,508,88,1,1,1
Somer Turcotte,Loyal,355,10,190,1018,3,5,5
Sonny Dickens,Others,342,6,250,362,3,4,2
Soren Gleason,First Grade,555,9,103,1061,5,5,5
Stafford Willms,Do not Show Up at All,112,3,506,295,1,1,2
Starling Welch,First Grade,444,7,128,590,4,4,4
Stefani Kshlerin,Loyal,344,7,186,520,3,4,4
Stephaine Graham,Others,524,4,105,609,5,2,4
Stetson Ferry DVM,Do not Show Up at All,111,3,500,237,1,1,1
Susannah Bernier,First Grade,545,6,33,754,5,4,5
Suzann Koss,Others,342,6,288,353,3,4,2
Suzette Hartmann,Loyal,343,6,291,427,3,4,3
Suzette Pollich,Require Assistance,223,4,335,395,2,2,3
Sydell West,Loyal,344,6,191,642,3,4,4
Sylva Littel,First Grade,445,7,178,778,4,4,5
Symone McClure,Likely to be Loyal,323,4,207,449,3,2,3
Tallie Gleason,Likely to be Loyal,312,3,227,293,3,1,2
Tamia Hills,Loyal,235,5,443,694,2,3,5
Tamia Langworth,Do not Show Up at All,111,1,576,103,1,1,1
Tamika Labadie,First Grade,445,7,138,839,4,4,5
Tamisha Crooks,First Grade,544,6,11,627,5,4,4
Tarik Marvin Jr.,Almost Out,144,6,585,510,1,4,4
Tate Turcotte,Others,113,3,516,394,1,1,3
Tawanda Balistreri MD,Likely to be Loyal,523,4,103,393,5,2,3
Taylor Crist,Loyal,344,6,261,643,3,4,4
Tegan O'Conner,Likely to be Loyal,411,2,177,199,4,1,1
Tera Collins,Do not Show Up at All,112,3,546,324,1,1,2
Texas Keebler,Almost Out,135,5,484,702,1,3,5
Theo Buckridge,Loyal,543,6,15,446,5,4,3
Thor Schultz,Likely to be Loyal,512,3,38,274,5,1,2
Tia Zulauf,First Grade,444,6,149,522,4,4,4
Tierra Hayes,First Grade,455,8,128,952,4,5,5
Tilden Hermann,Do not Show Up at All,111,2,545,96,1,1,1
Tisa Mosciski,Likely to be Loyal,321,4,229,159,3,2,1
Tobie Carroll,Loyal,255,9,344,870,2,5,5
Toccara Lebsack,Loyal,343,6,209,433,3,4,3
Tomika Koepp,Loyal,344,6,249,542,3,4,4
Toney Marvin,Loyal,334,5,212,558,3,3,4
Tori Bailey,Likely to be Loyal,411,2,129,121,4,1,1
Torrance Pollich,Likely to be Loyal,512,3,54,377,5,1,2
Torry Reynolds,First Grade,444,7,135,650,4,4,4
Tracy Feest,Do not Show Up at All,121,4,530,253,1,2,1
Travis Cartwright,First Grade,555,8,45,713,5,5,5
Tressie Buckridge DDS,Require Assistance,223,4,404,504,2,2,3
Trina Gaylord DDS,Likely to be Loyal,312,3,198,264,3,1,2
Triston Mills,Require Assistance,222,4,332,366,2,2,2
Trudie Mraz,Loyal,533,5,89,474,5,3,3
Trudy Stokes,Loyal,255,8,472,855,2,5,5
True Conroy,Loyal,533,5,40,471,5,3,3
Tyshawn Witting,Do not Show Up at All,111,3,573,208,1,1,1
Uriah West,Do not Show Up at All,111,3,653,195,1,1,1
Uriel Kuhn,Almost Out,134,5,542,567,1,3,4
Valencia Keebler DVM,Require Assistance,232,5,328,369,2,3,2
Vannie Kunze,Loyal,255,9,397,823,2,5,5
Velda Goyette,Loyal,443,6,151,473,4,4,3
Venice Smith,Do not Show Up at All,111,3,484,219,1,1,1
Verlene Emmerich,Likely to be Loyal,332,5,240,359,3,3,2
Verlin Christiansen Sr.,Require Assistance,223,4,389,491,2,2,3
Verna Hudson,Loyal,535,5,106,789,5,3,5
Vernell Lockman,Likely to be Loyal,311,1,236,153,3,1,1
Verona Langosh,Almost Out,133,5,539,492,1,3,3
Vic Volkman,Loyal,543,6,102,492,5,4,3
Vick Okuneva,Others,524,4,52,569,5,2,4
Vinson Tillman,Almost Out,123,4,490,454,1,2,3
Violette O'Kon,Others,324,4,246,565,3,2,4
Virgel Grimes,Loyal,435,5,173,675,4,3,5
Vivian McLaughlin MD,Loyal,244,6,416,574,2,4,4
Vivienne Medhurst,Others,113,3,517,390,1,1,3
Von Cassin,Require Assistance,232,5,402,350,2,3,2
Vonda Connelly,Do not Show Up at All,112,2,515,297,1,1,2
Waldemar Greenholt,Loyal,355,9,267,859,3,5,5
Wally Nikolaus,Loyal,333,5,181,419,3,3,3
Warner Kessler,Likely to be Loyal,322,4,290,310,3,2,2
Warren Osinski,First Grade,455,10,129,1038,4,5,5
Watt Cremin,Likely to be Loyal,411,1,127,52,4,1,1
Wellington Runolfsdottir,Likely to be Loyal,311,2,265,39,3,1,1
Wendi Purdy,Almost Out,134,5,490,560,1,3,4
Werner Hahn,First Grade,444,6,169,594,4,4,4
William Sawayn,Loyal,234,5,321,570,2,3,4
Willian Runte,First Grade,445,7,157,754,4,4,5
Winifred Hills DDS,Loyal,434,5,180,618,4,3,4
Winifred Kris,Loyal,243,6,452,459,2,4,3
Wong Bradtke II,Likely to be Loyal,312,3,287,280,3,1,2
Woodie Gleichner,Require Assistance,232,5,395,277,2,3,2
Yaakov Labadie,Do not Show Up at All,111,1,582,91,1,1,1
Yazmin Borer MD,Almost Out,135,5,549,716,1,3,5
Yessenia Rempel,Likely to be Loyal,421,4,163,236,4,2,1
Yetta Gorczany MD,Others,442,6,120,378,4,4,2
Yoselin Bauch,Loyal,255,8,346,760,2,5,5
Zackery Spinka,Loyal,243,6,387,406,2,4,3
Zander Lebsack,Loyal,344,6,204,574,3,4,4
Zechariah Gislason,Loyal,355,9,207,1196,3,5,5
Zenas Pacocha,Require Assistance,223,4,405,442,2,2,3
Zeno Lakin,Do not Show Up at All,111,1,524,38,1,1,1
Zillah Koch PhD,Almost Out,124,4,548,516,1,2,4
